bounce_frame,tx1,ty1,tx2,ty2,tx3,ty3,tx4,ty4,vx_before,vy_before,bounce_x,bounce_y,height_category
3390,525,611,1262,607,1405,779,400,790,97.333984,1453.8306,1267,657,mid
4584,525,611,1262,607,1405,779,400,790,1153.5052,398.1316,693,706,low
4645,525,611,1262,607,1405,779,400,790,597.77167,2.9637017,998,707,low
4699,525,611,1262,607,1405,779,400,790,515.7009,33.70503,1228,704,low
5137,525,611,1262,607,1405,779,400,790,-2124.6191,463.98193,1247,756,low
5188,525,611,1262,607,1405,779,400,790,-1422.5243,-50.909695,668,727,low
5253,525,611,1262,607,1405,779,400,790,1126.5779,-19.058237,1195,694,low
5332,525,611,1262,607,1405,779,400,790,-2174.1453,465.0426,580,665,high
5378,525,611,1262,607,1405,779,400,790,751.0501,116.3102,1219,649,high
6642,525,611,1262,607,1405,779,400,790,1895.1754,538.03937,673,630,low
6686,525,611,1262,607,1405,779,400,790,1563.6968,256.64023,1210,693,low
6755,525,611,1262,607,1405,779,400,790,-1266.8256,-69.99855,658,652,mid
6802,525,611,1262,607,1405,779,400,790,441.59427,26.87206,1100,621,mid
6921,525,611,1262,607,1405,779,400,790,-1945.1107,823.00323,531,719,high
7709,525,611,1262,607,1405,779,400,790,-1166.6597,1173.6084,602,628,mid
8137,525,611,1262,607,1405,779,400,790,1911.9371,816.79834,627,675,low
8186,525,611,1262,607,1405,779,400,790,1689.7501,238.8764,1295,722,mid
8254,525,611,1262,607,1405,779,400,790,-1486.4618,-88.4886,628,662,high
8320,525,611,1262,607,1405,779,400,790,1394.7776,90.10155,1230,667,high
8393,525,611,1262,607,1405,779,400,790,-4152.479,510.92438,613,730,high
8427,525,611,1262,607,1405,779,400,790,-1499.7954,127.12609,788,679,low
8469,525,611,1262,607,1405,779,400,790,205.479,-80.393394,699,651,low
8509,525,611,1262,607,1405,779,400,790,-353.44977,-16.023348,589,634,low
8803,525,611,1262,607,1405,779,400,790,720.7817,325.38824,1149,639,low
9627,525,611,1262,607,1405,779,400,790,-2848.7986,215.5371,1281,739,low
9672,525,611,1262,607,1405,779,400,790,-1608.1858,-328.15765,697,618,low
9758,525,611,1262,607,1405,779,400,790,1204.0144,392.6152,1086,700,low
9845,525,611,1262,607,1405,779,400,790,-1530.5192,-22.450113,591,670,low
10894,525,611,1262,607,1405,779,400,790,-3271.3877,181.26707,1363,742,low
10947,525,611,1262,607,1405,779,400,790,-1822.5773,-286.0498,611,616,low
11042,525,611,1262,607,1405,779,400,790,1143.8033,580.0033,1139,654,low
13430,525,611,1262,607,1405,779,400,790,1960.4016,821.3318,642,649,low
13470,525,611,1262,607,1405,779,400,790,1878.3079,307.07187,1264,721,high
14030,525,611,1262,607,1405,779,400,790,1780.1879,572.14233,601,620,low
14074,525,611,1262,607,1405,779,400,790,1374.6066,67.09305,1088,621,low
14182,525,611,1262,607,1405,779,400,790,-1714.6188,137.36769,536,670,high
14219,525,611,1262,607,1405,779,400,790,584.2755,210.48761,1178,647,high
14312,525,611,1262,607,1405,779,400,790,-1492.84,968.5246,662,693,low
14354,525,611,1262,607,1405,779,400,790,500.02576,273.2959,1162,671,high
14754,525,611,1262,607,1405,779,400,790,1311.6699,799.37744,564,702,low
14813,525,611,1262,607,1405,779,400,790,1035.5643,-30.150455,1071,688,low
15313,525,611,1262,607,1405,779,400,790,-2053.2988,-199.30974,488,692,high
15402,525,611,1262,607,1405,779,400,790,1580.146,513.91644,1304,725,high
15492,525,611,1262,607,1405,779,400,790,-2090.9653,404.63913,539,612,high
16362,525,611,1262,607,1405,779,400,790,-1867.3431,-128.01698,624,709,low
16434,525,611,1262,607,1405,779,400,790,1279.4718,58.159138,1154,690,low
16509,525,611,1262,607,1405,779,400,790,-3273.441,370.1985,521,742,high
17307,525,611,1262,607,1405,779,400,790,-1308.066,210.33772,1168,628,low
17364,525,611,1262,607,1405,779,400,790,-849.91724,11.493065,777,626,low
17727,525,611,1262,607,1405,779,400,790,2085.0098,681.7737,621,620,low
17771,525,611,1262,607,1405,779,400,790,1722.9031,281.134,1236,700,low
18787,525,611,1262,607,1405,779,400,790,2108.7974,892.7459,569,691,low
18836,525,611,1262,607,1405,779,400,790,1811.1532,214.58693,1289,734,mid
18924,525,611,1262,607,1405,779,400,790,-1732.3907,7.148307,627,667,low
19019,525,611,1262,607,1405,779,400,790,-178.11447,38.057705,730,620,low
21031,525,611,1262,607,1405,779,400,790,-2720.1074,217.53662,1227,731,low
21080,525,611,1262,607,1405,779,400,790,-1517.5654,-253.51671,646,620,low
21167,525,611,1262,607,1405,779,400,790,1062.2123,321.38312,1058,692,low
21673,525,611,1262,607,1405,779,400,790,-1876.7675,-326.401,590,633,mid
21772,525,611,1262,607,1405,779,400,790,1280.8347,640.6432,1221,697,low
21840,525,611,1262,607,1405,779,400,790,-1342.7756,189.5823,596,762,high
21946,525,611,1262,607,1405,779,400,790,2055.717,696.4832,1134,673,low
22690,525,611,1262,607,1405,779,400,790,1653.6304,961.8042,590,740,low
22754,525,611,1262,607,1405,779,400,790,936.3244,38.845917,1097,736,low
23236,525,611,1262,607,1405,779,400,790,-2014.7094,586.5234,1288,759,low
23309,525,611,1262,607,1405,779,400,790,-242.30225,595.18066,846,739,low
23356,525,611,1262,607,1405,779,400,790,-243.4169,-30.744287,748,710,low
23431,525,611,1262,607,1405,779,400,790,1085.2136,267.2754,1150,741,low
23883,525,611,1262,607,1405,779,400,790,-1514.7379,-272.57916,761,656,low
23974,525,611,1262,607,1405,779,400,790,522.1826,605.8179,1094,685,low
24056,525,611,1262,607,1405,779,400,790,-1477.5645,156.80994,702,714,low
24156,525,611,1262,607,1405,779,400,790,1694.8356,52.306202,1170,714,low
24209,525,611,1262,607,1405,779,400,790,-1018.4474,-158.7183,627,622,high
24286,525,611,1262,607,1405,779,400,790,1583.5393,275.18094,1244,661,high
24356,525,611,1262,607,1405,779,400,790,-1490.1156,204.83643,570,727,high
24413,525,611,1262,607,1405,779,400,790,842.158,-119.64359,1121,642,high
24474,525,611,1262,607,1405,779,400,790,-177.01395,53.936665,1050,674,low
25813,525,611,1262,607,1405,779,400,790,2014.9227,930.72504,580,677,low
25856,525,611,1262,607,1405,779,400,790,1916.163,287.597,1264,750,mid
25921,525,611,1262,607,1405,779,400,790,-1363.4657,-127.395966,645,676,low
26019,525,611,1262,607,1405,779,400,790,1250.048,601.63654,1261,699,mid
26083,525,611,1262,607,1405,779,400,790,-1206.5487,103.78095,663,743,high
