bounce_frame,tx1,ty1,tx2,ty2,tx3,ty3,tx4,ty4,vx_before,vy_before,bounce_x,bounce_y,height_category
5256,565,592,1319,586,1484,764,440,780,1745.4785,883.88916,616,630,low
5304,565,592,1319,586,1484,764,440,780,1605.5671,256.86725,1266,710,low
5374,565,592,1319,586,1484,764,440,780,-1393.7065,-44.61914,678,673,low
5450,565,592,1319,586,1484,764,440,780,1700.1937,446.35907,1302,690,mid
5511,565,592,1319,586,1484,764,440,780,-1248.8511,-81.34699,684,657,low
5585,565,592,1319,586,1484,764,440,780,1821.4667,492.00592,1285,701,low
5649,565,592,1319,586,1484,764,440,780,-1494.8602,106.59494,593,754,mid
6671,565,592,1319,586,1484,764,440,780,2203.8428,610.9741,595,625,low
6722,565,592,1319,586,1484,764,440,780,1761.0714,123.66808,1331,660,high
6770,565,592,1319,586,1484,764,440,780,-1589.4397,14.331342,586,655,high
8125,565,592,1319,586,1484,764,440,780,-2498.042,417.4536,1314,698,low
8173,565,592,1319,586,1484,764,440,780,-1455.5062,-185.50336,761,614,low
8247,565,592,1319,586,1484,764,440,780,1249.8358,609.893,1189,697,low
8320,565,592,1319,586,1484,764,440,780,-1391.9626,493.70953,823,714,low
8378,565,592,1319,586,1484,764,440,780,219.1919,25.123808,952,718,low
9252,565,592,1319,586,1484,764,440,780,-2313.5254,500.8374,1375,712,low
9303,565,592,1319,586,1484,764,440,780,-1277.4866,-170.8956,863,631,low
9392,565,592,1319,586,1484,764,440,780,1417.1205,527.71564,1356,713,mid
9458,565,592,1319,586,1484,764,440,780,-1640.9564,-60.539013,599,682,mid
9531,565,592,1319,586,1484,764,440,780,2474.7422,310.4585,1188,627,high
10822,565,592,1319,586,1484,764,440,780,2103.9807,730.8032,561,674,low
10875,565,592,1319,586,1484,764,440,780,1642.1385,60.59954,1272,675,low
12110,565,592,1319,586,1484,764,440,780,2099.0674,847.666,619,629,low
12155,565,592,1319,586,1484,764,440,780,1857.9735,203.97156,1314,687,mid
12230,565,592,1319,586,1484,764,440,780,-1363.2861,415.50885,711,675,low
12320,565,592,1319,586,1484,764,440,780,1757.898,317.55157,1258,648,low
12394,565,592,1319,586,1484,764,440,780,-1705.9459,488.7269,540,721,low
12463,565,592,1319,586,1484,764,440,780,1659.1432,-148.99571,1274,612,high
12506,565,592,1319,586,1484,764,440,780,59.79331,303.9773,983,723,low
13625,565,592,1319,586,1484,764,440,780,-2480.2979,498.74023,1376,715,low
13676,565,592,1319,586,1484,764,440,780,-1407.6731,-158.95563,811,636,low
13771,565,592,1319,586,1484,764,440,780,1452.4559,544.54364,1401,715,mid
13818,565,592,1319,586,1484,764,440,780,-1718.5165,64.86372,621,724,high
13890,565,592,1319,586,1484,764,440,780,1023.2577,71.82836,916,689,low
14934,565,592,1319,586,1484,764,440,780,-3709.3284,625.4333,1390,722,low
14980,565,592,1319,586,1484,764,440,780,-2294.7617,-157.09518,542,657,high
15039,565,592,1319,586,1484,764,440,780,1218.4965,-128.75455,1157,586,low
15156,565,592,1319,586,1484,764,440,780,-1501.7684,375.02286,599,611,high
15327,565,592,1319,586,1484,764,440,780,-1431.9264,241.95923,658,606,low
15408,565,592,1319,586,1484,764,440,780,1711.2168,600.039,1278,684,low
15471,565,592,1319,586,1484,764,440,780,-1055.137,80.86658,795,726,low
